station_address,latitude,longitude,free_bikes,ID,place_name,rating,place_address,result_ID
Queen St. E / Rhodes Ave.,43.666224,-79.317693,13,3,Regency Restaurant,4.0,1423 Gerrard Street E,56
Queen St. E / Rhodes Ave.,43.666224,-79.317693,13,3,Le Conciliabule,4.5,1300 Gerrard Street E,57
Queen St. E / Rhodes Ave.,43.666224,-79.317693,13,3,Butter Chicken Roti,2.5,1610 Queen Street E,58
Queen St. E / Rhodes Ave.,43.666224,-79.317693,13,3,British Style Fish & Chips,4.0,73 Coxwell Avenue,59
Queen St. E / Rhodes Ave.,43.666224,-79.317693,13,3,Jules Bistro,3.5,1290 Queen St E,60
Bond St / Queen St E,43.653236,-79.376716,7,4,Richmond Station,4.5,1 Richmond Street W,61
Bond St / Queen St E,43.653236,-79.376716,7,4,George Restaurant,4.5,111 Queen Street E,62
Bond St / Queen St E,43.653236,-79.376716,7,4,The Carbon Bar,4.0,99 Queen Street East,63
Bond St / Queen St E,43.653236,-79.376716,7,4,Terroni,3.5,57A Adelaide Street E,64
Bond St / Queen St E,43.653236,-79.376716,7,4,Pearl Diver,4.0,100 Adelaide Street E,65
Bond St / Queen St E,43.653236,-79.376716,7,4,Beerbistro,4.0,18 King Street E,66
Bond St / Queen St E,43.653236,-79.376716,7,4,Pai Northern Thai Kitchen,4.5,18 Duncan Street,67
Bond St / Queen St E,43.653236,-79.376716,7,4,Carisma,4.0,15 Toronto Street,68
Bond St / Queen St E,43.653236,-79.376716,7,4,Hendriks Restaurant & Bar,4.0,218 Yonge Street,69
Bond St / Queen St E,43.653236,-79.376716,7,4,Byblos,4.5,11 Duncan Street,70
Bond St / Queen St E,43.653236,-79.376716,7,4,Cafe Oro Di Napoli,4.5,75 Jarvis Street,71
Bond St / Queen St E,43.653236,-79.376716,7,4,Hokkaido Ramen Santouka,4.0,91 Dundas Street E,72
Bond St / Queen St E,43.653236,-79.376716,7,4,The Chase,3.5,10 Temperance Street,73
Bond St / Queen St E,43.653236,-79.376716,7,4,Nami Restaurant,3.5,55 Adelaide Street East,74
Bond St / Queen St E,43.653236,-79.376716,7,4,Gyu-Kaku Japanese BBQ,4.0,81 Church Street,75
Bond St / Queen St E,43.653236,-79.376716,7,4,The Keg Steakhouse + Bar - York Street,4.0,165 York Street,76
Bond St / Queen St E,43.653236,-79.376716,7,4,King Taps,4.0,100 King Street W,77
Bond St / Queen St E,43.653236,-79.376716,7,4,Eggspectation,4.0,483 Bay Street,78
Bond St / Queen St E,43.653236,-79.376716,7,4,Leña Restaurante,3.5,176 Yonge Street,79
Bond St / Queen St E,43.653236,-79.376716,7,4,The Senator,4.0,249 Victoria Street,80
Church St / Alexander St,43.663722,-79.380288,10,5,Kintaro Izakaya,4.0,459 Church Street,81
Church St / Alexander St,43.663722,-79.380288,10,5,Hair of the Dog,4.0,425 Church Street,82
Church St / Alexander St,43.663722,-79.380288,10,5,KINKA IZAKAYA ORIGINAL,4.0,398 Church Street,83
Church St / Alexander St,43.663722,-79.380288,10,5,Si Lom Thai Bistro,4.0,534 Church Street,84
Church St / Alexander St,43.663722,-79.380288,10,5,KINTON RAMEN,4.0,396 Church Street,85
Church St / Alexander St,43.663722,-79.380288,10,5,The Keg Steakhouse + Bar,4.0,515 Jarvis Street,86
Church St / Alexander St,43.663722,-79.380288,10,5,Storm Crow Manor,4.0,580 Church Street,87
Church St / Alexander St,43.663722,-79.380288,10,5,Afuri,4.0,411 Church Street,88
Church St / Alexander St,43.663722,-79.380288,10,5,Sambucas On Church,3.5,489 Church Street,89
Church St / Alexander St,43.663722,-79.380288,10,5,Katsuya,4.5,66 Gerrard Street E,90
Church St / Alexander St,43.663722,-79.380288,10,5,Kawa Sushi,3.5,451 Church Street,91
Church St / Alexander St,43.663722,-79.380288,10,5,Gurume Sushi,5.0,45 Carlton Street,92
Church St / Alexander St,43.663722,-79.380288,10,5,The Churchmouse: A Firkin Pub,3.5,475 Church Street,93
Church St / Alexander St,43.663722,-79.380288,10,5,Burrito Bandidos,4.0,2 Grosvenor Street,94
Church St / Alexander St,43.663722,-79.380288,10,5,Torch Pressed Sushi,4.5,507 Church St,95
Church St / Alexander St,43.663722,-79.380288,10,5,Fushimi,3.5,491 Church Street,96
Church St / Alexander St,43.663722,-79.380288,10,5,Zakkushi On Carlton,4.0,193 Carlton Street,97
Church St / Alexander St,43.663722,-79.380288,10,5,The Blake House,4.0,449 Jarvis Street,98
Church St / Alexander St,43.663722,-79.380288,10,5,Mr.Tonkatsu,4.0,548 Yonge Street,99
Church St / Alexander St,43.663722,-79.380288,10,5,Mabu Generation,4.0,575 Yonge Street,100
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6,Richmond Station,4.5,1 Richmond Street W,101
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6,Dzo Viet Eatery,4.0,308 Dundas Street W,102
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6,Sansotei Ramen,4.0,179 Dundas Street W,103
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6,Omai Restaurant,4.0,3 Baldwin Street,104
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6,Koh Lipe,4.0,35 Baldwin Street,105
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6,Mercatto,3.5,101 College Street,106
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6,The Keg Steakhouse + Bar - York Street,4.0,165 York Street,107
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6,Adega Restaurante,4.0,33 Elm St,108
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6,Gyubee Japanese Grill - Dundas,4.5,157 Dundas St W,109
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6,Mogouyan Hand-Pulled Noodles,4.5,124 Dundas St W,110
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6,The Queen And Beaver Public House,4.0,35 Elm Street,111
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6,Ikkousha Ramen,4.5,249 Queen Street W,112
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6,Banh Mi Boys,4.0,399 Yonge Street,113
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6,Saigon Lotus,4.5,6 St Andrew Street,114
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6,KINKA IZAKAYA ORIGINAL,4.0,398 Church Street,115
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6,Manpuku Japanese Eatery,4.0,105 McCaul Street,116
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6,1915 Lan Zhou Ramen,4.0,185 Dundas Street W,117
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6,Katsuya,4.5,66 Gerrard Street E,118
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6,Beerbistro,4.0,18 King Street E,119
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6,Café La Gaffe,3.5,24 Baldwin Street,120
Edward St / Yonge St,43.656729,-79.382736,11,7,The Queen And Beaver Public House,4.0,35 Elm Street,121
Edward St / Yonge St,43.656729,-79.382736,11,7,Richmond Station,4.5,1 Richmond Street W,122
Edward St / Yonge St,43.656729,-79.382736,11,7,Adega Restaurante,4.0,33 Elm St,123
Edward St / Yonge St,43.656729,-79.382736,11,7,Mogouyan Hand-Pulled Noodles,4.5,124 Dundas St W,124
Edward St / Yonge St,43.656729,-79.382736,11,7,Blaze Pizza,4.5,10 Dundas St. East,125
Edward St / Yonge St,43.656729,-79.382736,11,7,Donatello Restaurant,4.0,37 Elm Street,126
Edward St / Yonge St,43.656729,-79.382736,11,7,Barberian's Steak House,4.0,7 Elm Street,127
Edward St / Yonge St,43.656729,-79.382736,11,7,Konjiki Ramen Downtown,4.0,41 Elm Street,128
Edward St / Yonge St,43.656729,-79.382736,11,7,Moon Palace,4.0,40 Dundas Street W,129
Edward St / Yonge St,43.656729,-79.382736,11,7,DonDon Izakaya,3.0,130 Dundas Street West,130
Edward St / Yonge St,43.656729,-79.382736,11,7,Pai Northern Thai Kitchen,4.5,18 Duncan Street,131
Edward St / Yonge St,43.656729,-79.382736,11,7,JOEY Eaton Centre,3.5,1 Dundas St W,132
Edward St / Yonge St,43.656729,-79.382736,11,7,Salad King Restaurant,3.5,340 Yonge Street,133
Edward St / Yonge St,43.656729,-79.382736,11,7,Congee Queen,4.0,360 Yonge Street,134
Edward St / Yonge St,43.656729,-79.382736,11,7,Banh Mi Boys,4.0,399 Yonge Street,135
Edward St / Yonge St,43.656729,-79.382736,11,7,Sansotei Ramen,4.0,179 Dundas Street W,136
Edward St / Yonge St,43.656729,-79.382736,11,7,Thai On Yonge,4.0,370 Yonge Street,137
Edward St / Yonge St,43.656729,-79.382736,11,7,Bangkok Garden Restaurant,3.0,18 Elm Street,138
Edward St / Yonge St,43.656729,-79.382736,11,7,KINKA IZAKAYA ORIGINAL,4.0,398 Church Street,139
Edward St / Yonge St,43.656729,-79.382736,11,7,Gyubee Japanese Grill - Dundas,4.5,157 Dundas St W,140
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8,Daldongnae Korean BBQ - Christie,4.5,658 Bloor Street,141
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8,Yummy Korean Food Restaurant,4.0,620 Bloor Street W,142
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8,Korean Village Restaurant,4.0,628 Bloor Street W,143
