ID,place_name,rating,place_address
13,The Keg Steakhouse + Bar,8.6,26 the Esplanade
13,Wvrst Union Station,9.0,65 Front St W
13,Dog Fountain,8.6,
14,Riverdale Park West,9.1,500 Gerrard St
14,Le Beau,8.7,665 Dundas St E
14,Riverdale Farm,8.8,201 Winchester St
14,Regent Park Aquatic Centre,8.4,640 Dundas St E
14,Hanoi 3 Seasons,8.5,588 Gerrard St E
14,Merchants of Green Coffee,9.0,2 Matilda St
14,Park Snacks,7.6,161 Winchester St
14,Pho House,8.4,610 Gerrard St E
14,Farside,8.1,600 Gerrard St E
14,Lady Marmalade,7.7,265 Broadview Ave
15,Page One Cafe,8.9,106 Mutual St
15,Hokkaido Ramen Santouka,8.2,91 Dundas St E
15,St Michael's Cathedral,8.6,200 Church St
15,Blaze Pizza,8.7,10 Dundas St E
15,George Restaurant,8.8,111C Queen St E
15,Massey Hall,8.7,178 Victoria St
15,The Carbon Bar,8.1,99 Queen St E
15,Uniqlo,9.0,220 Yonge St
15,Yonge-Dundas Square,8.4,40 Dundas St W
15,Kinka Izakaya,8.7,398 Church St
16,Hailed Coffee,9.0,801 Gerrard St E
16,The Real Jerk Restaurant,8.4,842 Gerrard St E
16,Riverdale Perk,8.8,633 Logan Ave
16,Pinkerton's Snack Bar,8.9,1026 Gerrard St E
16,Rooster Coffee House,8.7,479 Broad View Ave
16,Poor Romeo,7.8,1029 Gerrard St E
16,Lady Marmalade,7.7,265 Broadview Ave
16,Eds Real Scoop,9.0,920 Queen St E
16,Withrow Park Off Leash Dog Park,8.4,Logan Ave
16,Dineen Outpost,7.8,1042 Gerrard St E
17,The Sovereign,7.3,1359 Davenport Rd
17,Marcello's Pizzeria,8.7,1163 Saint Clair Ave W
17,The Greater Good Bar,9.0,229 Geary Ave
17,Shunoko,7.8,1201 St Clair Ave W
17,King's Tacos,8.0,1216 Saint Clair Ave W
17,Parallel,8.6,217 Geary Ave
17,Pizza e Pazzi,7.8,1182 Saint Clair Ave W
17,Desotos,8.5,1079 Saint Clair Ave W
17,Blood Brothers Brewing,8.9,165 Geary Ave
17,Big Slice Pizza & Pasta,7.6,1154 Saint Clair Ave W
18,Eds Real Scoop,9.0,920 Queen St E
18,Reliable Halibut & Chips,8.4,954 Queen St E
18,Queen Books Inc,8.2,914 Queen St E
18,The Bone House,8.0,946 Queen St E
18,Mercury Espresso Bar,7.9,915 Queen St E
18,Te Aro,8.9,983 Queen St E
18,Brick Street Breads,7.6,255 Logan Ave
18,Avling,7.6,1042 Queen St E
18,Tabule,8.6,810 Queen St E
18,Boxcar Social,8.9,4 Boulton Ave
19,Blondies Pizza,8.4,1555 Dundas St E
19,Greenwood Park,8.9,150 Greenwood Ave
19,Tea N Bannock,8.1,1294 Gerrard St E
19,The Sidekick,8.8,1374 Queen St E
19,Maha's Fine Egyptian Cuisine,8.7,226 Greenwood Ave
19,Le Conciliabule,8.1,1300 Gerrard St E
19,Gio Rana's Really Really Nice Restaurant,8.0,1220 Queen St E
19,Descendant Detroit Style Pizza,9.0,1168 Queen St E
19,Black Lab Brewing,9.2,818 Eastern Ave
19,Radical Road Brewing Co,8.1,1177 Queen St E
20,Pinkerton's Snack Bar,8.9,1026 Gerrard St E
20,Dineen Outpost,7.8,1042 Gerrard St E
20,Poor Romeo,7.8,1029 Gerrard St E
20,Maple Leaf Tavern,8.7,955 Gerrard St E
20,Pizza Pide,7.9,949 Gerrard St E
20,The Shmooz,7.8,590 Pape Ave
20,Left Field Brewery,9.2,36 Wagstaff Dr
20,The Real Jerk Restaurant,8.4,842 Gerrard St E
20,Riverdale Perk,8.8,633 Logan Ave
20,Withrow Park Off Leash Dog Park,8.4,Logan Ave
21,Ascari Enoteca,8.5,1111 Queen St E
21,Bobbette & Belle,8.7,1121 Queen St E
21,Hanoi 3 Seasons,8.2,1135 Queen St E
21,Completo,8.7,5 Coady Ave
21,Te Aro,8.9,983 Queen St E
21,Tango Palace Coffee Co,8.0,1156 Queen St E
21,Farm Boy,8.0,1005 Lake Shore Blvd E
21,Descendant Detroit Style Pizza,9.0,1168 Queen St E
21,Avling,7.6,1042 Queen St E
