ID,place_name,rating,place_address
7,Mogouyan Hand-Pulled Noodles,4.5,124 Dundas St W
7,Blaze Pizza,4.5,10 Dundas St. East
7,Donatello Restaurant,4.0,37 Elm Street
7,Barberian's Steak House,4.0,7 Elm Street
7,Konjiki Ramen Downtown,4.0,41 Elm Street
7,Moon Palace,4.0,40 Dundas Street W
7,DonDon Izakaya,3.0,130 Dundas Street West
7,Pai Northern Thai Kitchen,4.5,18 Duncan Street
7,JOEY Eaton Centre,3.5,1 Dundas St W
7,Salad King Restaurant,3.5,340 Yonge Street
7,Congee Queen,4.0,360 Yonge Street
7,Banh Mi Boys,4.0,399 Yonge Street
7,Sansotei Ramen,4.0,179 Dundas Street W
7,Thai On Yonge,4.0,370 Yonge Street
7,Bangkok Garden Restaurant,3.0,18 Elm Street
7,KINKA IZAKAYA ORIGINAL,4.0,398 Church Street
7,Gyubee Japanese Grill - Dundas,4.5,157 Dundas St W
8,Daldongnae Korean BBQ - Christie,4.5,658 Bloor Street
8,Yummy Korean Food Restaurant,4.0,620 Bloor Street W
8,Korean Village Restaurant,4.0,628 Bloor Street W
8,Buk Chang Dong Soon Tofu,4.0,691 Bloor Street W
8,KINKA IZAKAYA ANNEX,4.0,559 Bloor St W
8,Sunrise House,4.0,661 Bloor Street W
8,Insomnia Restaurant & Lounge,4.0,563 Bloor Street W
8,Hancook Cheese Dakgalbi,4.0,605 Bloor Street W
8,MaMa Chef Korean Restaurant,4.0,648 Bloor Street W
8,Paldo Gangsan,4.5,694 Bloor Street  W
8,Ninetails Coffee Bar,4.5,651 Bloor Street W
8,KINTON RAMEN,3.5,668 Bloor Street W
8,Snakes & Lattes Annex,4.0,600 Bloor Street W
8,Her Chef,4.5,599 Bloor Street W
8,Arisu Korean BBQ & Sushi,3.5,584 Bloor Street W
8,Rasa,4.5,196 Robert Street
8,Kintori Yakitori Izakaya,3.5,668 Bloor Street W
8,Mr.Tonkatsu,4.0,520 Bloor Street W
8,Hodo Kwaja,4.5,656 Bloor Street W
8,Yasu,4.5,81 Harbord Street
9,Mineral,4.5,1027 Yonge Street
9,Joso's,4.5,202 Davenport Road
9,Portici,4.0,6 Scollard Street
9,Trattoria Nervosa,4.0,75 Yorkville Avenue
9,The Keg Steakhouse + Bar,4.0,515 Jarvis Street
9,PLANTA Yorkville,4.0,1221 Bay Street
9,Scaramouche Restaurant Pasta Bar & Grill,4.5,1 Benvenuto Place
9,Café Boulud,3.5,60 Yorkville Avenue
9,Black Camel,4.5,4 Crescent Road
9,Lee Chen Bistro,3.5,813 Yonge Street
9,Blu Ristorante,4.0,90 Avenue Road
9,Playa Cabana,4.0,111 Dupont Street
9,Happy Burger,4.5,881 Yonge Street
9,Kiro Sushi,4.0,4 Collier Street
9,Bhoj Indian Cuisine,4.0,21 Davenport Road
9,The Rebel House,3.5,1068 Yonge Street
9,Sassafraz,3.5,100 Cumberland Street
9,Utsav,4.0,69 Yorkville Ave
9,Fieramosca,4.5,36A Prince Arthur Avenue
9,The Oxley,4.0,121 Yorkville Avenue
10,Joso's,4.5,202 Davenport Road
10,Ristorante Sotto Sotto,4.0,120 Avenue Road
10,Osteria Giulia,4.5,134 Avenue Road
10,Blu Ristorante,4.0,90 Avenue Road
10,Playa Cabana,4.0,111 Dupont Street
10,Scaramouche Restaurant Pasta Bar & Grill,4.5,1 Benvenuto Place
10,Mimi Chinese,4.0,265 Davenport Road
10,The Oxley,4.0,121 Yorkville Avenue
10,Le Paradis Brasserie Bistro,3.5,166 Bedford Road
10,Trattoria Nervosa,4.0,75 Yorkville Avenue
10,Fieramosca,4.5,36A Prince Arthur Avenue
10,Pisac Peruvian Bistro,4.5,16 Dupont St
10,PLANTA Yorkville,4.0,1221 Bay Street
10,Figures,3.5,137 Avenue Road
10,Sassafraz,3.5,100 Cumberland Street
10,Gyubee Japanese Grill - Bloor,4.0,335 Bloor Street W
10,Mineral,4.5,1027 Yonge Street
10,Café Boulud,3.5,60 Yorkville Avenue
10,Opus Restaurant,4.0,37 Prince Arthur Avenue
10,Utsav,4.0,69 Yorkville Ave
11,PLANTA Yorkville,4.0,1221 Bay Street
11,Portici,4.0,6 Scollard Street
11,Trattoria Nervosa,4.0,75 Yorkville Avenue
11,Eataly Toronto,3.5,55 Bloor Street W
11,Café Boulud,3.5,60 Yorkville Avenue
11,Sassafraz,3.5,100 Cumberland Street
11,Lee Chen Bistro,3.5,813 Yonge Street
11,Cafe Landwer - Yonge & Bloor,4.0,33 Bloor St E
11,The Oxley,4.0,121 Yorkville Avenue
11,Mogouyan Hand-Pulled Noodles,4.0,760 Yonge Street
11,Utsav,4.0,69 Yorkville Ave
11,Naan & Kabob,4.0,691 Yonge Street
11,Buca Yorkville,4.0,53 Scollard Street
11,Kiro Sushi,4.0,4 Collier Street
11,The Keg Steakhouse + Bar,4.0,515 Jarvis Street
11,holts café,3.5,50 Bloor Street West
11,Joso's,4.5,202 Davenport Road
11,Bhoj Indian Cuisine,4.0,21 Davenport Road
11,Jack Astor’s,3.0,2 Bloor Street East
11,Dynasty Chinese Cuisine,3.0,69 Yorkville Avenue
12,Lady Marmalade,4.0,265 Broadview Avenue
12,White Lily Diner,4.5,678 Queen Street E
12,The Comrade,4.0,758 Queen Street E
12,Completo,4.5,337 Broadview Ave
12,Tabule Middle Eastern Cuisine,4.0,810 Queen Street  E
12,Wok & Roast Chinese BBQ,3.5,349 Broadview Ave
12,O’SOMAE,4.5,357 Broadview Ave
12,La Carnita,3.5,780 Queen Street E
12,ēst Restaurant,4.0,729 Queen Street E
12,Dine & Dim,4.5,633 Gerrard St E
12,Oji Seichi,4.0,354 Broadview Avenue
12,Brickworks Cider House,4.0,709 Queen Street E
12,Riverside Burgers,4.5,688 Queen St E
12,Eastside Social,4.5,1008 Queen Street E
12,Mi Mi Restaurant,4.0,686A Gerrard Street E
12,Gusto 501,4.0,501 King Street E
12,Batifole Restaurant,4.0,744 Gerrard Street E
12,Wynona,4.5,819 Gerrard Street E
12,Isaan Der,4.0,730 Queen St E
12,Souk Tabule,4.5,494 Front Street E
13,Richmond Station,4.5,1 Richmond Street W
13,Pai Northern Thai Kitchen,4.5,18 Duncan Street
13,Chotto Matte,4.0,161 Bay Street
13,Beerbistro,4.0,18 King Street E
13,The Keg Steakhouse + Bar - Esplanade,4.0,26 The Esplanade
13,Canoe,4.0,66 Wellington Street  W
13,Jump Restaurant,3.5,18 Wellington Street W
13,The Old Spaghetti Factory,3.5,54 The Esplanade
13,Biff's Bistro,3.5,4 Front Street  E
13,Library Bar,4.0,100 Front Street W
13,King Taps,4.0,100 King Street W
13,Ki Modern Japanese + Bar,3.5,181 Bay Street
13,Byblos,4.5,11 Duncan Street
13,Oliver & Bonacini Café Grill,3.0,33 Yonge Street
13,Cactus Club Cafe,4.0,77 Adelaide Street W
13,Bymark,3.5,66 Wellington Street W
13,Miku,4.0,105-10 Bay Street
13,The Keg Steakhouse + Bar - York Street,4.0,165 York Street
13,WVRST Union Station,4.0,65 Front Street West
13,Real Sports,3.5,15 York Street
14,The House On Parliament,4.0,454 Parliament Street
14,Zakkushi On Carlton,4.0,193 Carlton Street
14,Stout Irish Pub,4.0,221 Carlton Street
14,White Lily Diner,4.5,678 Queen Street E
14,Saigon PAI,4.5,446 Parliament Street
14,The Comrade,4.0,758 Queen Street E
14,Tabule Middle Eastern Cuisine,4.0,810 Queen Street  E
14,Maya Bay Thai,4.5,252 Carlton Street
14,Lady Marmalade,4.0,265 Broadview Avenue
14,Batifole Restaurant,4.0,744 Gerrard Street E
14,O’SOMAE,4.5,357 Broadview Ave
14,Oji Seichi,4.0,354 Broadview Avenue
14,Completo,4.5,337 Broadview Ave
14,Mi Mi Restaurant,4.0,686A Gerrard Street E
14,La Carnita,3.5,780 Queen Street E
14,ēst Restaurant,4.0,729 Queen Street E
14,F'Amelia,3.5,12 Amelia Street
14,Wok & Roast Chinese BBQ,3.5,349 Broadview Ave
14,Brickworks Cider House,4.0,709 Queen Street E
14,Salt and Tobacco,4.5,521 Parliament Street
15,Richmond Station,4.5,1 Richmond Street W
15,Hokkaido Ramen Santouka,4.0,91 Dundas Street E
15,Gyukatsu Kyoto Katsugyu,4.0,134 Dundas Street E
15,George Restaurant,4.5,111 Queen Street E
15,KINKA IZAKAYA ORIGINAL,4.0,398 Church Street
15,Page One,4.0,106 Mutual Street
15,Katsuya,4.5,66 Gerrard Street E
15,J San Sushi Bar,4.5,186 Jarvis Street
15,Blaze Pizza,4.5,10 Dundas St. East
15,The Carbon Bar,4.0,99 Queen Street East
15,Pearl Diver,4.0,100 Adelaide Street E
15,The Keg Steakhouse + Bar - York Street,4.0,165 York Street
15,KINTON RAMEN,4.0,396 Church Street
15,Beerbistro,4.0,18 King Street E
15,Cafe Oro Di Napoli,4.5,75 Jarvis Street
15,Zakkushi On Carlton,4.0,193 Carlton Street
15,The Senator,4.0,249 Victoria Street
15,Banh Mi Boys,4.0,399 Yonge Street
15,Egg Club,4.5,88 Dundas Street E
15,Adega Restaurante,4.0,33 Elm St
16,The Real Jerk,3.5,842 Gerrard Street E
16,Wynona,4.5,819 Gerrard Street E
16,Batifole Restaurant,4.0,744 Gerrard Street E
16,Gare De L'est,3.5,1190 Dundas Street E
16,Mi Mi Restaurant,4.0,686A Gerrard Street E
16,Ascari,4.0,1111 Queen Street E
16,Maple Leaf Tavern,4.0,955 Gerrard Street E
16,Hailed Coffee,4.5,801 Gerrard Street E
16,Chula Taberna Mexicana,4.0,1058 Gerrard Street E
16,Eastside Social,4.5,1008 Queen Street E
16,White Lily Diner,4.5,678 Queen Street E
16,Tabule Middle Eastern Cuisine,4.0,810 Queen Street  E
16,The Comrade,4.0,758 Queen Street E
16,Bach Yen,4.0,738 Gerrard Street E
16,Lady Marmalade,4.0,265 Broadview Avenue
16,Maker Pizza,4.5,105A - 388 Carlaw Avenue
16,Dine & Dim,4.5,633 Gerrard St E
16,EAT BKK Thai Kitchen,4.0,898 Queen Street E
16,CrowdedHouse,4.5,1161 Queen Street E
16,Ed's Real Scoop,4.5,920 Queen St E
17,Rush Hour,4.5,1438A Dufferin Street
17,Agio,4.5,1351 St Clair Avenue W
17,The Sovereign,4.5,1359 Davenport Road
17,CANO Restaurant,4.5,1108 St Clair Avenue W
17,Nodo Restaurant,4.5,794 Saint Clair Avenue W
17,Pukka,4.0,778 St. Clair Avenue W
