ID,place_name,rating,place_address,review_count,latitude,longitude
4,The Chase,3.5,10 Temperance Street,426,43.6510568545686,-79.379271238786
4,Nami Restaurant,3.5,55 Adelaide Street East,182,43.65076,-79.37577
4,The Poke Box,4.5,36 Toronto Street,181,43.6505,-79.37657
5,Kintaro Izakaya,4.0,459 Church Street,246,43.66417,-79.38006
5,Hair of the Dog,4.0,425 Church Street,370,43.662946823805,-79.379592870241
5,KINKA IZAKAYA ORIGINAL,4.0,398 Church Street,1818,43.66042406856627,-79.37890046282942
5,Si Lom Thai Bistro,4.0,534 Church Street,200,43.66503,-79.38082
5,KINTON RAMEN,4.0,396 Church Street,225,43.6603113,-79.3789004
5,Storm Crow Manor,4.0,580 Church Street,149,43.6667489584503,-79.3816431239247
5,Afuri,4.0,411 Church Street,28,43.66272786420948,-79.37943784310166
5,Katsuya,4.5,66 Gerrard Street E,501,43.65995,-79.37882
5,The Keg Steakhouse + Bar,4.0,515 Jarvis Street,377,43.6668345,-79.3779253
5,Gurume Sushi,5.0,45 Carlton Street,56,43.6613914599157,-79.38099526635763
5,Sambucas On Church,3.5,489 Church Street,104,43.66511,-79.38042
5,Torch Pressed Sushi,4.5,507 Church St,72,43.6659093206019,-79.3808230385184
5,The Churchmouse: A Firkin Pub,3.5,475 Church Street,84,43.6646112519968,-79.3801465109641
5,Kawa Sushi,3.5,451 Church Street,172,43.66397,-79.37992
5,Egg Club Wellesley,4.5,531 Yonge Street,39,43.6642,-79.38389
5,Burrito Bandidos,4.0,2 Grosvenor Street,130,43.6630940440624,-79.3840069720838
5,The Blake House,4.0,449 Jarvis Street,162,43.66452,-79.37718
5,Fabarnak Community Cafe and Catering,4.0,519 Church Street,126,43.66655,-79.3809
5,Mabu Generation,4.0,575 Yonge Street,59,43.6650956222266,-79.3848299235106
5,Blaze Pizza,4.5,10 Dundas St. East,585,43.6565313336776,-79.3800427473602
6,Sansotei Ramen,4.0,179 Dundas Street W,943,43.655,-79.38643
